#OTU ID,EDCA1,EDCA2,EDCA3,EDCA4,EDCA5,EDCB1,EDCB2,EDCB3,EDCB4,EDCB5,EDCC1,EDCC2,EDCC3,EDCC4,EDCC5,EDCD1,EDCD2,EDCD3,EDCD4,EDCD5,EDCE1,EDCE2,EDCE3,EDCE4_5,EDCE4,EDCE5,EDCF1,EDCF2,EDCF3,EDCF4,EDCF5,EDCG1,EDCG2,EDCG3,EDCG4,EDCG5,EDCH1,EDCH2,EDCH3,EDCH4,EDCH5,EDCI1,EDCI2,EDCI3,EDCI4_5,EDCI4,EDCI5,EDCJ1,EDCJ2,EDCJ3,EDCJ4_5,EDCJ4,EDCJ5,EJC10,EJC23,EJC3,EJC30,XDCA2,XDCA3,XDCA4,XDCB2,XDCB3,XDCB4,XDCC1,XDCC2,XDCC3,XDCC4,XDCD0,XDCD1,XDCD2,XDCD3,XDCD4,XDCE1,XDCE2,XDCE3,XDCE4,XDCF2,XDCF3,XDCF4,XDCG2,XDCG3,XDCG4,XDCH2,XDCH3,XDCH4,XDCI2,XDCI3,XDCI4,XDCJ1,XDCJ2,XDCJ3,XDCJ4,XJC-14,XJC-3,XJC29,YDCA1,YDCA2,YDCA3,YDCA4,YDCA5,YDCA6,YDCB1,YDCB2,YDCB3,YDCB4,YDCB5,YDCB6,YDCC0,YDCC1,YDCC2,YDCC3,YDCC4,YDCC5,YDCC6,YDCD0,YDCD1,YDCD2,YDCD3,YDCD4,YDCD5,YDCD6,YDCE0,YDCE1,YDCE2,YDCE3,YDCE4,YDCE5,YDCE6,YDCF1,YDCF2,YDCF3,YDCF4,YDCF5,YDCF6,YDCG1,YDCG2,YDCG3,YDCG4,YDCG5,YDCG6,YDCH1,YDCH2,YDCH3,YDCH4,YDCH5,YDCH6,YDCI1,YDCI2,YDCI3,YDCI4,YDCI5,YDCI6,YDCJ1,YDCJ2,YDCJ3,YDCJ4,YDCJ5,YDCJ6,YJC24,ZDCA1,ZDCA2,ZDCA3,ZDCA4,ZDCA5,ZDCB1,ZDCB2,ZDCB3,ZDCB4,ZDCB5,ZDCC0,ZDCC1,ZDCC2,ZDCC3,ZDCC4,ZDCC5,ZDCD0,ZDCD1,ZDCD2,ZDCD3,ZDCD4,ZDCD5,ZDCD6,ZDCE0,ZDCE1,ZDCE2,ZDCE3,ZDCE4,ZDCE5,ZDCE6,ZDCF0,ZDCF1,ZDCF2,ZDCF3,ZDCF4,ZDCF5,ZDCG1,ZDCG2,ZDCG3,ZDCG4,ZDCG5,ZDCG6,ZDCH1,ZDCH2,ZDCH3,ZDCH4,ZDCH5,ZDCI1,ZDCI2,ZDCI3,ZDCI4,ZDCI5,ZDCI6,ZDCJ0,ZDCJ1,ZDCJ2,ZDCJ3,ZDCJ4,ZDCJ5,ZDCJ6,ZJC16,ZJC22,ZJCCJ,OTUsize,Taxonomy,superkingdom,phylum,class,order,family,genus,species
ASV207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,Fungi{superkingdom}(70);Mucoromycota{phylum}(70);Mucoromycetes{class}(70);Mucorales{order}(70);Mucoraceae{family}(70);Mucor{genus}(70);Unassigned{species}(0),Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Unassigned
ASV208,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,38,0,0,0,12,0,0,15,7,0,13,0,17,0,3,3,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,Fungi{superkingdom}(85);Ascomycota{phylum}(85);Sordariomycetes{class}(85);Microascales{order}(85);Microascaceae{family}(85);Microascus{genus}(85);Microascus_verrucosus{species}(85),Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,Microascus_verrucosus
ASV209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,37,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,57,11,0,0,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,Fungi{superkingdom}(63);Basidiomycota{phylum}(63);Moniliellomycetes{class}(63);Moniliellales{order}(63);Moniliellaceae{family}(63);unidentified{genus}(63);Moniliellaceae_sp{species}(63),Fungi,Basidiomycota,Moniliellomycetes,Moniliellales,Moniliellaceae,unidentified,Moniliellaceae_sp
ASV210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,24,16,22,0,27,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,24,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,Fungi{superkingdom}(100);Basidiomycota{phylum}(100);Moniliellomycetes{class}(100);Moniliellales{order}(100);Moniliellaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Fungi,Basidiomycota,Moniliellomycetes,Moniliellales,Moniliellaceae,Unassigned,Unassigned
ASV211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,7,0,29,0,0,0,0,0,30,0,0,29,0,0,0,0,0,17,0,10,0,9,0,0,0,0,19,0,0,21,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,Fungi{superkingdom}(87);Ascomycota{phylum}(87);Sordariomycetes{class}(87);Hypocreales{order}(87);Hypocreales_fam_Incertae_sedis{family}(87);Acremonium{genus}(87);Acremonium_pinkertoniae{species}(87),Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_pinkertoniae
ASV212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,51,0,16,0,0,0,0,43,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,Fungi{superkingdom}(100);Basidiomycota{phylum}(100);Malasseziomycetes{class}(100);Malasseziales{order}(100);Malasseziaceae{family}(100);Malassezia{genus}(100);Malassezia_globosa{species}(100),Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia_globosa
ASV213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,42,0,37,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,Fungi{superkingdom}(67);Ascomycota{phylum}(67);Dothideomycetes{class}(67);Mycosphaerellales{order}(67);Teratosphaeriaceae{family}(67);Parateratosphaeria{genus}(67);Parateratosphaeria_sp{species}(67),Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Parateratosphaeria,Parateratosphaeria_sp
ASV214,25,0,0,0,0,18,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,55,19,0,0,0,7,21,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Trichomonascaceae{family}(100);Blastobotrys{genus}(100);Blastobotrys_chiropterorum{species}(100),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,Blastobotrys_chiropterorum
ASV215,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Saccharomycetaceae{family}(100);Zygosaccharomyces{genus}(100);Zygosaccharomyces_pseudobailii{species}(100),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_pseudobailii
ASV216,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,20,16,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,0,0,0,0,37,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,Fungi{superkingdom}(98);Ascomycota{phylum}(98);Dothideomycetes{class}(98);Capnodiales{order}(98);Cladosporiaceae{family}(98);Cladosporium{genus}(98);Unassigned{species}(0),Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Unassigned
ASV217,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,0,16,0,0,22,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,17,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,Fungi{superkingdom}(62);Ascomycota{phylum}(62);Sordariomycetes{class}(62);Hypocreales{order}(62);Nectriaceae{family}(62);Fusarium{genus}(62);Fusarium_sacchari{species}(62),Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sacchari
ASV218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Pichiaceae{family}(100);Pichia{genus}(100);Pichia_membranifaciens{species}(100),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_membranifaciens
ASV219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,9,0,0,0,16,0,0,0,0,0,14,0,12,0,0,0,0,0,0,24,0,0,58,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,Fungi{superkingdom}(90);Ascomycota{phylum}(90);Saccharomycetes{class}(90);Saccharomycetales{order}(90);Trichomonascaceae{family}(90);Wickerhamiella{genus}(90);Wickerhamiella_pararugosa{species}(90),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Wickerhamiella,Wickerhamiella_pararugosa
ASV220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,42,0,0,0,0,0,0,0,0,0,0,0,193,Fungi{superkingdom}(85);Ascomycota{phylum}(85);Saccharomycetes{class}(85);Saccharomycetales{order}(85);Saccharomycetaceae{family}(85);Issatchenkia{genus}(85);Issatchenkia_orientalis{species}(85),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia_orientalis
ASV221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Saccharomycetaceae{family}(100);Zygosaccharomyces{genus}(100);Zygosaccharomyces_pseudobailii{species}(100),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces_pseudobailii
ASV222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Phaffomycetaceae{family}(100);Cyberlindnera{genus}(100);Cyberlindnera_fabianii{species}(100),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera_fabianii
ASV223,0,13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,25,0,1,1,1,0,2,0,0,0,0,10,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,Fungi{superkingdom}(100);Mucoromycota{phylum}(100);Mucoromycetes{class}(100);Mucorales{order}(100);Lichtheimiaceae{family}(100);Lichtheimia{genus}(100);Lichtheimia_ornata{species}(100),Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia_ornata
ASV224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,19,5,0,0,0,0,32,0,0,0,0,12,10,12,0,13,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,Fungi{superkingdom}(83);Ascomycota{phylum}(83);Sordariomycetes{class}(83);Hypocreales{order}(83);Hypocreales_fam_Incertae_sedis{family}(83);Acremonium{genus}(83);Acremonium_pinkertoniae{species}(83),Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_pinkertoniae
ASV225,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,Fungi{superkingdom}(74);Ascomycota{phylum}(74);Saccharomycetes{class}(74);Saccharomycetales{order}(74);Saccharomycetaceae{family}(74);Nakaseomyces{genus}(74);Nakaseomyces_sp{species}(74),Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Nakaseomyces_sp
ASV226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,173,Fungi{superkingdom}(64);Ascomycota{phylum}(64);Dothideomycetes{class}(64);Mycosphaerellales{order}(64);Teratosphaeriaceae{family}(64);unidentified{genus}(64);Teratosphaeriaceae_sp{species}(64),Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,unidentified,Teratosphaeriaceae_sp
